id_actividad,fila_origen,fecha,comuna_cod,publico_empresarial,entidades_asociadas,actividad_empresarial
170,171,2024-07-22,99,,Empresas privadas;,Taller - Hogar Seguro
174,175,2024-07-23,15,,Comités Sectoriales de Gestión del Riesgo de Desastres (COSEGRD);Empresas privadas;,Asesoría general al COSEGRD
182,183,2024-07-24,10,,Empresas privadas;Cuerpo Oficial de Bomberos Medellín COBM;,Acompañamiento al sector empresarial en GRD
190,191,2024-07-25,10,,Comités Sectoriales de Gestión del Riesgo de Desastres (COSEGRD);,Asesoría general al COSEGRD
213,214,2024-07-29,7,,,Acompañamiento al sector empresarial en GRD
226,227,2024-07-30,10,,Empresas privadas;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
236,237,2024-07-31,7,,Instituciones de Educación Superior;,Asesoría general al COSEGRD
272,273,2024-08-06,10,,Comerciantes del Centro;,Acompañamiento al sector empresarial en GRD
275,276,2024-08-06,10,,Comerciantes del Centro;,Acompañamiento al sector empresarial en GRD
282,283,2024-08-08,99,,Empresas privadas;,Asesoría general al COSEGRD
290,291,2024-08-12,8,,Comunidad en general;Empresas privadas;Instituciones de Educación Superior;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
291,292,2024-08-12,8,,Comunidad en general;Empresas privadas;Instituciones de Educación Superior;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
292,293,2024-08-12,8,,Instituciones de Educación Superior;,Asesoría general al COSEGRD
304,305,2024-08-14,10,,Comerciantes del Centro;Empresas privadas;,Asesoría general al COSEGRD
305,306,2024-08-14,10,,Empresas privadas;Equipo Comunicaciones DAGRD;Subdirección de Conocimiento y Reducción del riesgo de Desastres;Subdirección de Manejo;,Acompañamiento al sector empresarial en GRD
319,320,2024-08-20,15,,Empresas privadas;,Asesoría general al COSEGRD
328,329,2024-08-21,8,,Comunidad en general;Empresas sector público;Juntas Administradoras Locales (JAL);Juntas de Acción Comunal (JAC);Metro de Medellín;,Asesoría general al COSEGRD
363,364,2024-08-27,90,,Empresas sector público;,Acompañamiento al sector empresarial en GRD
366,367,2024-08-27,7,,Empresas privadas;,Acompañamiento al sector empresarial en GRD
377,378,2024-08-28,7,,Empresas sector público;,Asesoría general al COSEGRD
425,426,2024-09-03,99,,,Acompañamiento al sector empresarial en GRD
435,436,2024-09-04,90,,Cuerpo Oficial de Bomberos Medellín COBM;Empresas sector público;Empresas privadas;,Acompañamiento al sector empresarial en GRD
437,438,2024-09-04,4,,,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
449,450,2024-09-05,4,,,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
470,471,2024-09-11,10,,,Taller - Teórico Práctico Simulacros y Simulaciones
471,472,2024-09-11,12,,,Taller - Teórico Práctico Simulacros y Simulaciones
472,473,2024-09-11,12,,,Taller - ABC Gestión del Riesgo de Desastres
480,481,2024-09-12,7,,Cuerpo Oficial de Bomberos Medellín COBM;,Asesoría general al COSEGRD
481,482,2024-09-12,7,,,Taller - Teórico Práctico Simulacros y Simulaciones
482,483,2024-09-12,10,,,Taller - Teórico Práctico Simulacros y Simulaciones
483,484,2024-09-12,10,,Cuerpo Oficial de Bomberos Medellín COBM;,Asesoría general al COSEGRD
