pagina,visual_name,visual_tipo,query_ref,agregacion,columna_excel_o_modelo,filtro_columnas,filtro_valores
Introducción,cd40324d9be56b561fe3,image,,,,,
Introducción,1ae8e342c486a04265cc,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,,
Introducción,9d76dc137bfc9922904b,pageNavigator,,,,,
Introducción,f0948b24fba73e4ea045,textbox,,,,,
Introducción,a15f97b97db99b668a9e,image,,,,,
Estrategia ,b4885ae5182d025d8ae7,card,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Estrategia ,327c87a627dca7354ccd,textbox,,,,,
Estrategia ,4c23554b1940a40416cf,slicer,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,mes_nombre,
Estrategia ,995786f05ec794708743,image,,,,,
Estrategia ,3ff183b6087a8e19dfed,actionButton,,,,,
Estrategia ,d4febc389b5e8de984b2,slicer,Dim_Comuna.comuna_cod,,Dim_Comuna.comuna_cod,comuna_cod,
Estrategia ,422241f2225641bf01ac,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,anio,
Estrategia ,a4143ddbae38b3573ade,card,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Estrategia ,3bdffabe045ad1264db5,card,_Medidas.Base_Impacto_Indirecto,,_Medidas.Base_Impacto_Indirecto,,
Estrategia ,f75891f8b2451af7b84b,card,_Medidas.Base_Simulacros,,_Medidas.Base_Simulacros,,
Estrategia ,2c8ed4a76d5c7f7e187f,card,_Medidas.Cobertura_Total,,_Medidas.Cobertura_Total,,
Estrategia ,c110b8594a8a9ebf4285,clusteredBarChart,Dim_Seccion.seccion_tablero,,Dim_Seccion.seccion_tablero,seccion_tablero,
Estrategia ,c110b8594a8a9ebf4285,clusteredBarChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,seccion_tablero,
Estrategia ,c110b8594a8a9ebf4285,clusteredBarChart,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,seccion_tablero,
Estrategia ,da13559abe8c7cef19a2,lineChart,Dim_Fecha.anio,,Dim_Fecha.anio,,
Estrategia ,da13559abe8c7cef19a2,lineChart,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,,
Estrategia ,da13559abe8c7cef19a2,lineChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Estrategia ,5e150834afe72e07b4ff,donutChart,Dim_Seccion.seccion_tablero,,Dim_Seccion.seccion_tablero,seccion_tablero,
Estrategia ,5e150834afe72e07b4ff,donutChart,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,seccion_tablero,
Estrategia ,9a8be81e68fbae634844,actionButton,,,,,
Estrategia ,9079bab87c86b2ae8844,pageNavigator,,,,,
Estrategia ,46ac75ac61dbca1ca5e2,slicer,Dim_Instancia.instancia,,Dim_Instancia.instancia,seccion_tablero,
Comunidad,41187d42069e05066e47,textbox,,,,,
Comunidad,8d89788cb2a75a8657f9,image,,,,,
Comunidad,f45cbc45faec61fe9560,slicer,Dim_Comuna.comuna_cod,,Dim_Comuna.comuna_cod,comuna_cod,
Comunidad,76c2a9eaccb1756af542,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,anio,
Comunidad,9a8158904ec29eb0db38,slicer,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,mes_nombre,
Comunidad,1d153735c56eb7084e43,card,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Comunidad,b3559fea33237ece65f4,card,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Comunidad,4b4db96cf7c45365d76f,card,_Medidas.Impacto_Indirecto_Comunidad,,_Medidas.Impacto_Indirecto_Comunidad,,
Comunidad,273213a559b911a27f2a,clusteredBarChart,Hecho_Participacion_General.bloque_comunidad,,Hecho_Participacion_General.bloque_comunidad,,
Comunidad,273213a559b911a27f2a,clusteredBarChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Comunidad,273213a559b911a27f2a,clusteredBarChart,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Comunidad,45c3d654cb3f6b11f952,columnChart,Hecho_Demografia.categoria,,Hecho_Demografia.categoria,instancia,Comunitario
Comunidad,45c3d654cb3f6b11f952,columnChart,Hecho_Demografia.dimension,,Hecho_Demografia.dimension,instancia,Comunitario
Comunidad,45c3d654cb3f6b11f952,columnChart,_Medidas.Total_Dem_Valor,,_Medidas.Total_Dem_Valor,instancia,Comunitario
Comunidad,d9722adc070eb12110b8,card,_Medidas.Num_Comites_Comisiones,,_Medidas.Num_Comites_Comisiones,,
Comunidad,e48912e0ed7bc5aef175,card,Dim_SATC.Total_SATC_Unicos,,Dim_SATC.Total_SATC_Unicos,,
Comunidad,afaa770783f14dfd7983,card,Dim_Semilleros.Total_Semilleros,,Dim_Semilleros.Total_Semilleros,,
Comunidad,cbd47fee150acaeb3388,pageNavigator,,,,,
Comunidad,25ffe04cf38ba9746e2e,lineChart,Dim_Fecha.anio,,Dim_Fecha.anio,,
Comunidad,25ffe04cf38ba9746e2e,lineChart,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,,
Comunidad,25ffe04cf38ba9746e2e,lineChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Comunidad,cfc6e2a26dc21e26d9ae,actionButton,,,,,
Comunidad,71ae8d69b7209593f99c,actionButton,,,,,
Comunidad,b731cd48dffb66e799eb,tableEx,Dim_Comites_Comisiones_2026.comite_comision_etiqueta,,Dim_Comites_Comisiones_2026.comite_comision_etiqueta,,
Comunidad,7aa92dc834c2f4d0133c,bookmarkNavigator,,,,,
Comunidad,c58bd908deeaa6f100c8,bookmarkNavigator,,,,,
