pagina,visual_name,visual_tipo,query_refs,filtros_visual,posicion
Introducción,cd40324d9be56b561fe3,image,,,"x=47.69047050394077,y=211.55003582517315,z=0"
Introducción,1ae8e342c486a04265cc,slicer,Dim_Fecha.anio,,"x=289.54575206178816,y=90.4830475193088,z=1000"
Introducción,9d76dc137bfc9922904b,pageNavigator,,,"x=90.67678684376978,y=142.4920936116382,z=2000"
Introducción,f0948b24fba73e4ea045,textbox,,,"x=0,y=0,z=3000"
Introducción,a15f97b97db99b668a9e,image,,,"x=0,y=0,z=4000"
Estrategia ,b4885ae5182d025d8ae7,card,_Medidas.GenF_Total_Actividades,,"x=0,y=96.51525068726272,z=0"
Estrategia ,327c87a627dca7354ccd,textbox,,,"x=0,y=0,z=1000"
Estrategia ,4c23554b1940a40416cf,slicer,Dim_Fecha.mes_nombre,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""mes_nombre""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}]]}}}}}]","x=0,y=295.8536416983086,z=3000"
Estrategia ,995786f05ec794708743,image,,,"x=0,y=0,z=2000"
Estrategia ,3ff183b6087a8e19dfed,actionButton,,,"x=1185.9311428197407,y=15.683728236680192,z=4000"
Estrategia ,d4febc389b5e8de984b2,slicer,Dim_Comuna.comuna_cod,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""comuna_cod""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}], [{""Literal"": {""Value"": ""99L""}}]]}}}}}]","x=163.83293061788055,y=186.10148429409733,z=5000"
Estrategia ,422241f2225641bf01ac,slicer,Dim_Fecha.anio,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""anio""}}], ""Values"": [[{""Literal"": {""Value"": ""2024L""}}], [{""Literal"": {""Value"": ""2025L""}}], [{""Literal"": {""Value"": ""2026L""}}]]}}}]","x=3.1812219537452533,y=186.10148429409733,z=6000"
Estrategia ,a4143ddbae38b3573ade,card,_Medidas.GenF_Total_Participaciones,,"x=164.07592616834663,y=95.30881005367193,z=7000"
Estrategia ,3bdffabe045ad1264db5,card,_Medidas.Base_Impacto_Indirecto,,"x=357.887469796341,y=95.4366586123576,z=8000"
Estrategia ,f75891f8b2451af7b84b,card,_Medidas.Base_Simulacros,,"x=921.720644063359,y=95.30881005367193,z=9000"
Estrategia ,2c8ed4a76d5c7f7e187f,card,_Medidas.Cobertura_Total,,"x=628.5555701007985,y=95.30881005367193,z=10000"
Estrategia ,c110b8594a8a9ebf4285,clusteredBarChart,Dim_Seccion.seccion_tablero | _Medidas.GenF_Total_Actividades | _Medidas.GenF_Total_Participaciones,"[{""Condition"": {""Not"": {""Expression"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""seccion_tablero""}}], ""Values"": [[{""Literal"": {""Value"": ""null""}}]]}}}}}]","x=628.5555701007985,y=186.99829820657152,z=11000"
Estrategia ,da13559abe8c7cef19a2,lineChart,Dim_Fecha.anio | Dim_Fecha.mes_nombre | _Medidas.GenF_Total_Actividades,,"x=174.96720745598893,y=407.1964100793924,z=12000"
