medida,columnas_modelo,filtros_dax,expresion
GenF_Total_Actividades,,,COUNTROWS(Hecho_Participacion_General) lineageTag: 6614757e-d0bd-4634-8d56-c2aa4335d7e8
GenF_Total_Participaciones,Hecho_Participacion_General[participantes],,SUM(Hecho_Participacion_General[participantes]) lineageTag: f4a73d11-1599-437b-aadb-03ab3dd78249
Base_Impacto_Indirecto,Hecho_Participacion_General[impacto_indirecto],,SUM(Hecho_Participacion_General[impacto_indirecto]) lineageTag: c5caf45c-2254-4048-b447-42f5101d37cb
Base_Simulacros,,,COUNTROWS(Hecho_Simulacros) lineageTag: abaa5719-dea7-45b1-921e-6f010f9a717e
Base_Simulacros_Personas,Hecho_Simulacros[personas_participantes],,SUM(Hecho_Simulacros[personas_participantes]) lineageTag: 29229a13-8c10-445b-91f7-d3c064cc3689
GenF_Comunitaria_Participaciones,Dim_Seccion[seccion_tablero],"Dim_Seccion[seccion_tablero] = ""Comunitaria""","CALCULATE([GenF_Total_Participaciones], Dim_Seccion[seccion_tablero] = ""Comunitaria"") lineageTag: fe1f0f52-70b2-4aad-8f0c-dc6f51e4b32d"
GenF_Educativa_Participaciones,Dim_Seccion[seccion_tablero],"Dim_Seccion[seccion_tablero] = ""Educativa""","CALCULATE([GenF_Total_Participaciones], Dim_Seccion[seccion_tablero] = ""Educativa"") lineageTag: 4f613d19-2ad5-4b4a-9e5d-357e0b40397e"
GenF_Empresarial_Participaciones,Dim_Seccion[seccion_tablero],"Dim_Seccion[seccion_tablero] = ""Empresarial""","CALCULATE([GenF_Total_Participaciones], Dim_Seccion[seccion_tablero] = ""Empresarial"") lineageTag: 0ce5d729-8bb6-412c-9d47-d97b0e842a34"
GenF_Institucional_Participaciones,Dim_Seccion[seccion_tablero],"Dim_Seccion[seccion_tablero] = ""Institucional""","CALCULATE([GenF_Total_Participaciones], Dim_Seccion[seccion_tablero] = ""Institucional"") lineageTag: 540be670-cc3f-4469-a2ae-afbaa786a0fb"
Ctl_Referencia_Actividades_OK,,,"IF([GenF_Total_Actividades] = 3202, ""SI"", ""NO"") lineageTag: 66e5e4ef-241b-4237-a77c-e2f2a7cb8a77"
Ctl_Referencia_Participaciones_OK,,,"IF([GenF_Total_Participaciones] = 111694, ""SI"", ""NO"") lineageTag: c4e08b5a-a876-4d3d-9da3-ba38de5736aa"
Articulacion_Institucional,Hecho_Participacion_General[bloque_institucional],"Hecho_Participacion_General[bloque_institucional] = ""Articulacion Institucional""","CALCULATE(COUNTROWS(Hecho_Participacion_General), Hecho_Participacion_General[bloque_institucional] = ""Articulacion Institucional"") lineageTag: f8d79608-efd0-47a8-9a9f-f1d302047240"
Mesas_Interinstitucionalidad,Hecho_Participacion_General[bloque_institucional],"Hecho_Participacion_General[bloque_institucional] = ""Mesas Interinstitucionalidad en el territorio""","CALCULATE(COUNTROWS(Hecho_Participacion_General), Hecho_Participacion_General[bloque_institucional] = ""Mesas Interinstitucionalidad en el territorio"") lineageTag: 354577c7-269a-4976-9e3a-d72228edba27"
Acciones_Conjuntas,Hecho_Participacion_General[bloque_institucional],"Hecho_Participacion_General[bloque_institucional] = ""Acciones Conjuntas""","CALCULATE(COUNTROWS(Hecho_Participacion_General), Hecho_Participacion_General[bloque_institucional] = ""Acciones Conjuntas"") lineageTag: 33041afa-6a0a-4521-8f7d-76c53f61ef5a"
Simulacros_Registrados_Total,,,COUNTROWS(Hecho_Simulacros) lineageTag: 79e5c3d2-1dd5-4d17-ab30-c683626542a7
Cobertura_Total,,,[GenF_Total_Participaciones] + [Base_Impacto_Indirecto] lineageTag: f76a7b9f-79e9-487d-98c9-1d1ace0fe697
