medida_dax,hoja_excel,columna_principal_buscar,filtro_columna_excel,filtro_valor,columnas_apoyo,tipo_calculo
GenF_Total_Actividades,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
GenF_Total_Participaciones,Sheet1,Indique el número de personas participantes,(sin filtro fijo),(sin filtro fijo),Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Base_Impacto_Indirecto,Sheet1,Cantidad de personas impactadas indirectamente,(sin filtro fijo),(sin filtro fijo),Cantidad de personas impactadas indirectamente,COUNTROWS/SUM/DISTINCTCOUNT según medida
Base_Simulacros,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
Base_Simulacros_Personas,Simulacros,Número de personas participantes,(sin filtro fijo),(sin filtro fijo),Número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
GenF_Comunitaria_Participaciones,Sheet1,Instancia,Instancia,Comunitaria,Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
GenF_Educativa_Participaciones,Sheet1,Instancia,Instancia,Educativa,Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
GenF_Empresarial_Participaciones,Sheet1,Instancia,Instancia,Empresarial,Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
GenF_Institucional_Participaciones,Sheet1,Instancia,Instancia,Institucional,Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
Ctl_Referencia_Actividades_OK,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
Ctl_Referencia_Participaciones_OK,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
Articulacion_Institucional,Sheet1,Instancia + actividad institucional (clasificación en modelo),Instancia + actividad institucional (clasificación en modelo),Articulacion Institucional,Instancia + actividad institucional (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Mesas_Interinstitucionalidad,Sheet1,Instancia + actividad institucional (clasificación en modelo),Instancia + actividad institucional (clasificación en modelo),Mesas Interinstitucionalidad en el territorio,Instancia + actividad institucional (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Acciones_Conjuntas,Sheet1,Instancia + actividad institucional (clasificación en modelo),Instancia + actividad institucional (clasificación en modelo),Acciones Conjuntas,Instancia + actividad institucional (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Simulacros_Registrados_Total,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
Cobertura_Total,Sheet1,Revisar en modelo (columna derivada),(sin filtro fijo),(sin filtro fijo),,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participaciones_Institucionales,Sheet1,Indique el número de personas participantes,Instancia,Institucional,Indique el número de personas participantes | Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Articulacion,Sheet1,Instancia,Instancia,Institucional,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Articulacion,Sheet1,Instancia,Instancia + actividad institucional (clasificación en modelo),Articulacion Institucional,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Mesas,Sheet1,Instancia,Instancia,Institucional,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Mesas,Sheet1,Instancia,Instancia + actividad institucional (clasificación en modelo),Mesas Interinstitucionalidad en el territorio,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Acciones_Conjuntas,Sheet1,Instancia,Instancia,Institucional,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Acciones_Conjuntas,Sheet1,Instancia,Instancia + actividad institucional (clasificación en modelo),Acciones Conjuntas,Instancia | Instancia + actividad institucional (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Entidades_en_Simulacros,Simulacros,Nombre completo,(sin filtro fijo),(sin filtro fijo),Nombre completo,COUNTROWS/SUM/DISTINCTCOUNT según medida
Simulacros_Institucionales,Simulacros,Sector pertenece,Sector pertenece,Institucional,Sector pertenece,COUNTROWS/SUM/DISTINCTCOUNT según medida
Actividades_Comites,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Comisiones y comites,Público objeto en comunidad (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Actividades_Semilleros,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Semilleros,Público objeto en comunidad (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Actividades_SATC,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),SAT-C,Público objeto en comunidad (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Actividades_HogarSeguro,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Hogares - Planes Familiares/Hogar Seguro,Público objeto en comunidad (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Actividades_Comunidad_Otros,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Otros Procesos Organizativos,Público objeto en comunidad (clasificación en modelo),COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Comites,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Comisiones y comites,Público objeto en comunidad (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_Semilleros,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Semilleros,Público objeto en comunidad (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_SATC,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),SAT-C,Público objeto en comunidad (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Participantes_HogarSeguro,Sheet1,Público objeto en comunidad (clasificación en modelo),Público objeto en comunidad (clasificación en modelo),Hogares - Planes Familiares/Hogar Seguro,Público objeto en comunidad (clasificación en modelo) | Indique el número de personas participantes,COUNTROWS/SUM/DISTINCTCOUNT según medida
Impacto_Indirecto_Comunidad,Sheet1,Cantidad de personas impactadas indirectamente,Instancia,Comunitaria,Cantidad de personas impactadas indirectamente | Instancia,COUNTROWS/SUM/DISTINCTCOUNT según medida
