comuna_cod,nombre_unico,es_agregado
1,COMITE POPULAR 2,False
2,COMISION JAC MARIA AUXILIADORA,False
2,COMITE LA ISLA,False
2,TODOS LOS COMITES Y COMISIONES,True
3,COMISION BARRIOS UNIDOS,False
3,COMISION BELLO ORIENTE,False
3,COMISION EL JARDIN,False
3,COMISION LA CIMA # 2,False
3,COMISION LA CRUZ;COMISION LA HONDA,False
3,COMISION LAS GRANJAS,False
3,COMISION MARIA CANO CARAMBOLAS,False
3,COMISION SANTA INES,False
3,COMISION VERSALLES # 1,False
3,COMISION VERSALLES # 2,False
3,COMISION VERSALLES SUR,False
3,COMITE BELLO ORIENTE,False
3,TODOS LOS COMITES Y COMISIONES,True
4,COMISION BERLIN #2 SECTOR SAN NICOLAS,False
4,COMISION CAMPO VALDES EL CALVARIO,False
4,COMISION MORAVIA EL BOSQUE,False
4,COMISION MORAVIA ORIENTE,False
4,COMITE BERLIN N°2,False
4,COMITE BERLIN PARQUE,False
4,COMITE BRASILIA,False
4,COMITE LOS ALAMOS,False
4,COMITE MANRIQUE CENTRAL N°1,False
4,COMITE PALERMO,False
4,COMITE SEVILLA,False
4,TODOS LOS COMITES Y COMISIONES,True
5,COMITE FLORENCIA,False
7,COMISION AURES 1,False
7,COMISION BRISAS DE ROBLEDO,False
7,COMISION JAC AURES 1;COMISION JAC AURES 2;COMISION JAC BELLO HORIZONTE;COMISION JAC FUENTE CLARA;COMISION JAC LA CASCADA;COMISION JAC LAS COMETAS;COMISION JAC PALENQUE;COMISION JAC VILLA DE LA CANDELARIA;COMISION JAC VILLA FLORA;COMISION VILLA FLORA;COMITE PALENQUE,False
7,COMISION JAC PALENQUE;COMISION JAC VILLA DE LA CANDELARIA;COMITE PALENQUE;COMISION JAC VILLA CAMPINA,False
7,COMISION MORADORES DEL TERRITORIO JAC OLAYA HERRERA 1,False
7,COMISION MORADORES DEL TERRITORIO JAC OLAYA HERRERA 1;COMISION SANTA MARGARITA;COMISION VILLA FLORA;COMISION BELLO HORIZONTE;COMISION LAS COMETAS;COMISION FUENTE CLARA;COMISION OLAYA 2;COMITE EL DIAMANTE;COMITE LAS MARGARITAS;COMISION VILLA DE LA CANDELARIA,False
7,COMISION NUEVA VILLA DE LA IGUANA,False
7,COMISION OLAYA 2,False
7,COMISION PALENQUE,False
